Date,Input_01,Input_02,Input_03,Input_04,Output
1/06/2000,16.5765,1.5894,1.8301,11.8652,64.001
2/06/2000,15.6348,1.5833,1.8305,11.4351,61.6079
3/06/2000,15.7149,1.5817,1.839,11.6349,71.9267
4/06/2000,16.7631,1.5864,1.8342,11.8942,75.4059
5/06/2000,16.3731,1.5918,1.8308,12.3796,77.996
6/06/2000,15.2138,1.5993,1.8245,12.3264,74.9102
7/06/2000,16.1024,1.5861,1.8306,11.6305,63.2721
8/06/2000,16.7921,1.593,1.8321,11.6686,70.7724
9/06/2000,16.1142,1.5967,1.8384,11.7921,72.9956
10/06/2000,16.7382,1.5936,1.8378,12.0932,77.47
11/06/2000,17.0636,1.6005,1.8057,12.3161,81.3302
12/06/2000,17.0276,1.5994,1.8287,11.1657,77.3656
13/06/2000,20.307,3.6248,1.8247,10.9108,67.9236
14/06/2000,18.8354,2.0795,2.6059,11.4051,57.0842
15/06/2000,17.8259,1.5871,2.0155,11.6542,65.8191
16/06/2000,18.0744,1.5925,1.8902,11.9472,71.7211
17/06/2000,17.908,1.5932,1.8629,12.2206,80.5241
18/06/2000,17.7134,1.6068,1.8659,13.2562,78.3655
19/06/2000,16.7324,1.6091,1.8627,12.4011,82.3147
20/06/2000,17.3254,1.5894,1.8341,12.1604,78.6362
21/06/2000,16.2779,1.5887,1.8313,12.0911,68.3133
22/06/2000,17.5681,1.5935,1.8311,12.0371,78.0656
23/06/2000,17.3582,1.5984,1.8364,11.8236,80.3993
24/06/2000,17.5232,1.5927,1.8307,11.9575,81.5996
25/06/2000,17.5452,1.6003,1.8295,12.1081,82.7674
26/06/2000,17.2237,1.7313,1.8307,11.8885,77.5822
27/06/2000,16.9099,1.6548,1.8249,12.4382,71.789
28/06/2000,17.5923,1.6077,1.8144,13.1236,73.0449
29/06/2000,20.2383,1.7718,9.8371,11.5911,67.4867
30/06/2000,20.9136,1.589,4.3711,11.2928,58.4975
1/07/2000,18.8379,1.6977,1.9187,11.3775,64.5795
2/07/2000,18.619,1.6693,1.9946,11.5322,72.2606
3/07/2000,18.7323,1.6256,1.876,11.822,74.5732
4/07/2000,17.0766,1.9405,1.8641,12.1367,72.9935
5/07/2000,17.7953,1.8678,1.8592,12.0481,68.6218
6/07/2000,18.3333,2.169,1.8333,12.0915,74.3661
7/07/2000,18.222,1.6009,1.8318,12.5047,82.7436
8/07/2000,18.0304,1.948,1.8309,12.312,87.0074
9/07/2000,18.4481,1.7678,1.8314,12.0124,86.7589
10/07/2000,17.9279,1.6319,1.8458,11.9097,86.592
11/07/2000,17.3347,1.8914,1.846,11.6577,81.0033
12/07/2000,16.8101,1.887,1.8473,11.5783,71.497
13/07/2000,19.043,1.5934,1.8304,11.8958,76.7917
14/07/2000,18.4543,12.6758,1.8282,11.8785,81.3865
15/07/2000,16.435,12.8515,1.8323,11.4744,79.6556
16/07/2000,16.876,13.1067,1.8486,11.4186,81.9462
17/07/2000,15.8447,3.1278,1.8266,11.4941,83.6778
18/07/2000,17.6637,2.0924,1.8272,11.8009,78.0467
19/07/2000,17.9804,1.924,1.8255,11.6434,72.0786
20/07/2000,17.8138,1.7017,1.817,11.5638,76.7859
21/07/2000,16.0249,1.5976,1.8315,11.9803,82.7107
22/07/2000,15.7383,1.6319,1.8304,12.2013,78.9552
23/07/2000,16.5838,1.6016,1.8304,11.8379,86.1905
